symbol,n,min_diff,mean_t_stat_adj,worst_t_stat_adj,best_t_stat_adj,mean_mae,min_n_eff,subperiod_sign_agreement
BTC-USDT-SWAP,10,0.025,0.2721954250882833,-0.35672637043466326,0.9343556873338228,0.025685019939172795,597,0.7045454545454546
BTC-USDT-SWAP,25,0.01,-0.0013490476207242317,-0.3778843679077376,0.9490958954808736,0.01953519487943617,750,0.6136363636363636
BTC-USDT-SWAP,7,0.025,0.11496535667986095,-0.38939171447609633,0.8289221391061068,0.026620482632956303,598,0.6818181818181818
BTC-USDT-SWAP,25,0.0125,0.015473594475510322,-0.44808552147071795,1.4425261474759408,0.020214176184324115,732,0.6590909090909091
BTC-USDT-SWAP,8,0.025,0.17718498945794733,-0.46140955029167213,1.2509378395347743,0.02630093760715718,597,0.75
BTC-USDT-SWAP,25,0.0075,-0.11708409972956303,-0.49040827156564165,0.3657102639896191,0.018734611475598385,774,0.6590909090909091
BTC-USDT-SWAP,2,0.04,0.15137589983785715,-0.5066988361809591,2.0804216912867557,0.031189883122593923,440,0.6818181818181818
BTC-USDT-SWAP,7,0.03,0.023274412425336934,-0.5135016292771081,0.6386232565292347,0.02750637676509652,535,0.6818181818181818
BTC-USDT-SWAP,12,0.025,-0.007313467348820665,-0.5432502863872116,0.7498553357024965,0.025459693980331374,598,0.75
BTC-USDT-SWAP,25,0.005,0.00023705035457741383,-0.558997295843282,0.7744660727796367,0.01794311068495917,792,0.6818181818181818
BTC-USDT-SWAP,25,0.015,0.02542907785195304,-0.5615697195212856,0.39643756151671294,0.020830780392078505,698,0.7045454545454546
BTC-USDT-SWAP,8,0.04,0.09944001648122702,-0.561653828920509,2.352518226161163,0.028082257897114382,440,0.7272727272727273
BTC-USDT-SWAP,2,0.025,-0.037151498637684216,-0.5743388720802962,0.5734793415883924,0.029741351299187556,602,0.6363636363636364
BTC-USDT-SWAP,8,0.03,-0.0517322785634399,-0.632141593765722,0.587540551371815,0.027356831624822834,534,0.6590909090909091
BTC-USDT-SWAP,3,0.025,-0.07315431141523768,-0.6913992684928741,0.6306216171520717,0.029041498627556582,600,0.6818181818181818
BTC-USDT-SWAP,2,0.0125,-0.23618294162758827,-0.7248386719623346,0.03434879515777098,0.026658894205591675,744,0.7272727272727273
BTC-USDT-SWAP,7,0.04,0.003907475592015499,-0.729154678328727,2.1062683222616325,0.02839942655947055,439,0.7727272727272727
BTC-USDT-SWAP,2,0.015,-0.20593054688713452,-0.763904805957764,0.1212171179958893,0.027560772457184714,709,0.7727272727272727
BTC-USDT-SWAP,10,0.04,-0.07646132231243992,-0.7754615122363887,1.734869781737232,0.028136621295081102,440,0.7045454545454546
BTC-USDT-SWAP,10,0.03,-0.13770497229811055,-0.7826792360715427,0.49323085887158186,0.02717727795871565,535,0.75
BTC-USDT-SWAP,6,0.025,-0.319450104532883,-0.7870238691770561,0.1484589765460346,0.02744554102661462,601,0.6818181818181818
BTC-USDT-SWAP,5,0.04,-0.06921672215074387,-0.8066399294123934,2.276697386426519,0.029079897109536935,440,0.75
BTC-USDT-SWAP,3,0.04,0.012802439944690951,-0.8091904915127479,1.9554168193716013,0.030349479621498036,440,0.7954545454545454
BTC-USDT-SWAP,8,0.005,-0.16997833748728755,-0.8152618927054062,0.026058097722993934,0.019572815654858102,807,0.6590909090909091
BTC-USDT-SWAP,5,0.03,-0.27675161610932003,-0.8155829991615559,0.41905891319347305,0.028844578761597097,535,0.6363636363636364
BTC-USDT-SWAP,10,0.0075,-0.22658036492066766,-0.8246597108026528,0.07878755660298441,0.020507184746485278,791,0.7954545454545454
BTC-USDT-SWAP,2,0.03,0.002902804976054017,-0.8480077682358306,0.4314921902950685,0.03050113775147898,537,0.6590909090909091
BTC-USDT-SWAP,2,0.05,-0.2774668281630822,-0.85340470192519,1.015664796810956,0.032166559895335685,365,0.6590909090909091
BTC-USDT-SWAP,2,0.01,-0.19835747189316894,-0.8552607046559491,0.06263579509072191,0.02558352309661135,769,0.8181818181818182
BTC-USDT-SWAP,3,0.03,-0.08672637245885485,-0.8677639339152715,0.3853491330036244,0.029810928104077296,535,0.6363636363636364
BTC-USDT-SWAP,4,0.025,-0.3136329795519364,-0.9030663420404578,0.4101901179713451,0.028556366141114623,600,0.6818181818181818
BTC-USDT-SWAP,12,0.02,-0.35159392876076334,-0.9195692093519157,0.21541963688813384,0.02442445175928963,651,0.7272727272727273
BTC-USDT-SWAP,6,0.04,-0.17977868154432242,-0.9234840418019751,1.7613689581156806,0.02881348175489936,439,0.6590909090909091
BTC-USDT-SWAP,12,0.03,-0.35410949171186235,-0.9365422110831667,0.3645436171437116,0.026862013922344576,535,0.6590909090909091
BTC-USDT-SWAP,10,0.005,-0.13424914221032394,-0.9571153829136276,0.10066432995543674,0.019231108150305605,806,0.6363636363636364
BTC-USDT-SWAP,15,0.025,-0.4187571823923219,-0.970808822540265,0.10659076601080043,0.025087880242694784,598,0.6818181818181818
BTC-USDT-SWAP,3,0.015,-0.32223836473688455,-0.9810612265239503,0.07247954208152856,0.02670097591379004,709,0.7272727272727273
BTC-USDT-SWAP,7,0.0075,-0.29643102382559516,-1.0006726911261206,-0.003621436541741718,0.02123665841452683,791,0.8181818181818182
BTC-USDT-SWAP,3,0.05,-0.4521604815962949,-1.0007356831343577,0.8246278622092048,0.03217370158839012,365,0.7272727272727273
BTC-USDT-SWAP,2,0.005,-0.20949706610752514,-1.0010985996382469,-0.009511674233468213,0.022347869985669264,815,0.8409090909090909
BTC-USDT-SWAP,4,0.03,-0.38495274559813253,-1.0203462220980688,0.33474368912834146,0.029528559009219964,535,0.75
BTC-USDT-SWAP,4,0.04,-0.24440701934168152,-1.0265720476491393,1.385411918514764,0.030144159145953,440,0.6590909090909091
BTC-USDT-SWAP,10,0.01,-0.21790131405248073,-1.0406953351180537,0.07963827922775693,0.02159069152525867,766,0.6818181818181818
BTC-USDT-SWAP,7,0.01,-0.21610756103006265,-1.0478157599870284,0.09350294925678447,0.022405487055041223,765,0.6363636363636364
BTC-USDT-SWAP,3,0.02,-0.4861407178162466,-1.049639716553798,0.028345856396149754,0.027990976516003244,656,0.75
BTC-USDT-SWAP,6,0.03,-0.3009207638463285,-1.0497185767887223,0.4450926112017459,0.02836061199127181,535,0.7045454545454546
