symbol,n,min_diff,m_hours,subperiod,n_obs,n_eff,mean_fade,std_fade,t_stat_raw,t_stat_adj,mean_mae
BTC-USDT-SWAP,2,0.005,12,2,9750,749,-7.874206815289773e-05,0.025802734063166157,-0.30133071273410383,-0.08351836808823916,0.019922163863500097
BTC-USDT-SWAP,2,0.005,12,3,7157,714,-4.7334177374235225e-05,0.0191843934307377,-0.20873355520027714,-0.06592890572400184,0.015716787610309087
BTC-USDT-SWAP,2,0.005,12,all,44895,3026,-4.9876159477014705e-05,0.029341647256240798,-0.3601699711952218,-0.09350675268640063,0.02243307002602466
BTC-USDT-SWAP,2,0.005,16,0,11978,587,-0.00010225327700389253,0.03904171824880081,-0.28664242316900806,-0.063455221261766,0.029627490501325824
BTC-USDT-SWAP,2,0.005,16,1,16010,608,-3.512507479779223e-05,0.03553661474589278,-0.1250653116282409,-0.024372102349886154,0.028183506006855458
BTC-USDT-SWAP,2,0.005,16,2,9750,575,-1.0513634875930027e-05,0.029469038009615096,-0.035228101536130804,-0.008555016547559812,0.022737600065394027
BTC-USDT-SWAP,2,0.005,16,3,7150,548,1.7724674785426593e-05,0.021591309785047832,0.06941483693379727,0.01921717593271588,0.01782358520613384
BTC-USDT-SWAP,2,0.005,16,all,44888,2316,-3.927371936352244e-05,0.03346595287829236,-0.24863597410587226,-0.05647654425465184,0.02573574780021576
BTC-USDT-SWAP,2,0.005,24,0,11978,402,-1.410120094190083e-05,0.04912039869033118,-0.03141856696838121,-0.005755820540849073,0.036145158790083676
BTC-USDT-SWAP,2,0.005,24,1,16010,411,-3.31886673068731e-05,0.042658449677263226,-0.09844199617959153,-0.01577268596584251,0.034358541555077525
BTC-USDT-SWAP,2,0.005,24,2,9750,395,-4.08687481213965e-05,0.03646440770371478,-0.11066861604118326,-0.022275154188550316,0.027673175954211496
BTC-USDT-SWAP,2,0.005,24,3,7147,385,1.2979551502747008e-05,0.026707026209210755,0.041086206489767824,0.00953596214084386,0.02206179893668584
BTC-USDT-SWAP,2,0.005,24,all,44885,1592,-2.24119458183939e-05,0.0411736123039091,-0.1153217456578784,-0.021718614899137536,0.03142511094660731
BTC-USDT-SWAP,2,0.005,36,0,11978,271,-0.00010254454155384312,0.05879495486401642,-0.19088185238573235,-0.02871158261486703,0.04427032535583841
BTC-USDT-SWAP,2,0.005,36,1,16010,276,-1.6558957638480213e-05,0.04936037815354307,-0.042447310961583315,-0.005573256843251151,0.04167095009459742
BTC-USDT-SWAP,2,0.005,36,2,9750,268,-9.548475426845495e-05,0.04298537886183547,-0.2193388609343741,-0.036364755585149885,0.03325018731026132
BTC-USDT-SWAP,2,0.005,36,3,7140,262,1.4711946437139856e-05,0.031098836006062443,0.03997376976653093,0.007657317352917279,0.026701909282966823
BTC-USDT-SWAP,2,0.005,36,all,44878,1076,-5.1680567027948175e-05,0.04844574344494076,-0.22598956810857115,-0.03499272636657187,0.0381537240225092
BTC-USDT-SWAP,2,0.005,48,0,11978,206,-4.6700138791996806e-05,0.06810169198976437,-0.07505029843564559,-0.009842238377123863,0.05140388760400675
BTC-USDT-SWAP,2,0.005,48,1,16010,208,-2.26812805095295e-05,0.0557328048504547,-0.05149349095855822,-0.005869327416032492,0.048016196315585236
BTC-USDT-SWAP,2,0.005,48,2,9750,204,-4.3264879993987054e-05,0.04831902485291921,-0.08841371723156521,-0.012788877461292031,0.037628717274188754
BTC-USDT-SWAP,2,0.005,48,3,7134,199,7.277787583480094e-05,0.03481679369462085,0.17655383442913758,0.029487444724729493,0.03003494385343237
BTC-USDT-SWAP,2,0.005,48,all,44872,815,-1.838867839953677e-05,0.05519151990853922,-0.07057743598635383,-0.009511674233468213,0.043804696728628974
BTC-USDT-SWAP,2,0.0075,1,0,7252,3848,-0.0001141874912833712,0.013151809999726958,-0.7393701329249212,-0.5385803907931235,0.008625133029870596
BTC-USDT-SWAP,2,0.0075,1,1,9654,5079,-0.00013174134964937588,0.010620955351285561,-1.2187431070593742,-0.8839905688334687,0.0077318259907305335
BTC-USDT-SWAP,2,0.0075,1,2,5645,3360,-9.019310012271692e-05,0.009707030628394278,-0.6981020092255208,-0.538587851968602,0.006767494986220832
BTC-USDT-SWAP,2,0.0075,1,3,3890,2685,-0.00016603401791830252,0.007067090208057296,-1.4653158369403079,-1.2173867981914344,0.005156940307555847
BTC-USDT-SWAP,2,0.0075,1,all,26441,14972,-0.00012310166242566535,0.010774068619790978,-1.8579033540230339,-1.3980544618826505,0.007392137961527286
BTC-USDT-SWAP,2,0.0075,2,0,7252,2624,-7.084128929215643e-05,0.017684530162702446,-0.3411315034076624,-0.20519881379004376,0.012115876539494586
BTC-USDT-SWAP,2,0.0075,2,1,9654,3342,-0.00010832093930013223,0.014347165581434044,-0.7418224186272706,-0.43646510658781124,0.010928398553827798
BTC-USDT-SWAP,2,0.0075,2,2,5645,2385,-8.826064593016908e-05,0.01342876990681065,-0.4938133674892869,-0.32097784773222104,0.009467224289468619
BTC-USDT-SWAP,2,0.0075,2,3,3890,1980,-9.3531013315864e-05,0.009642755237299063,-0.604963673264448,-0.4316056204143111,0.00723558938934329
